uuid,name,userids,locationids
ae2ef3a5_1815_4da3_b3d6_b7653b59862e,equipe1_medouneu,8f66056c_8bc2_4a71_bde5_0001dfacd197,5c9df904_bfce_449b_a1a3_beeabd36c9b0
ae2ef3a5_1815_4da3_b3d6_b7653b59862e,equipe1_medouneu,84d1db3a_db2f_479e_b818_92075eaed338,5c9df904_bfce_449b_a1a3_beeabd36c9b0
ae2ef3a5_1815_4da3_b3d6_b7653b59862e,equipe1_medouneu,4083bc6e_22a1_46a6_b48d_97ca38f97263,5c9df904_bfce_449b_a1a3_beeabd36c9b0
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,e71c9939_0aea_43f6_8810_5a758f3adedf,0bc754dc_b418_4de1_a9ff_ae294cdd0016
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,e71c9939_0aea_43f6_8810_5a758f3adedf,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,57e5065c_f1d8_4cde_a7e1_d025c191f517,0bc754dc_b418_4de1_a9ff_ae294cdd0016
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,57e5065c_f1d8_4cde_a7e1_d025c191f517,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,a0d891e2_4551_48c1_b6f6_e798c60caa28,0bc754dc_b418_4de1_a9ff_ae294cdd0016
b2633931_f265_4386_9cb6_5b6530e49ab4,equipe_francisca_b,a0d891e2_4551_48c1_b6f6_e798c60caa28,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
c1ed4b8b_68a5_44b0_bf31_6b319ff1e2d4,lbrn_equipe_3,e71c9939_0aea_43f6_8810_5a758f3adedf,b749ac4c_96f4_4d2a_b8d7_1575faee66ad
c1ed4b8b_68a5_44b0_bf31_6b319ff1e2d4,lbrn_equipe_3,c08ba1bf_4837_495c_bba7_f861843fa302,b749ac4c_96f4_4d2a_b8d7_1575faee66ad
c1ed4b8b_68a5_44b0_bf31_6b319ff1e2d4,lbrn_equipe_3,be20e22b_714d_4e16_869d_dd9989ca51a5,b749ac4c_96f4_4d2a_b8d7_1575faee66ad
c1ed4b8b_68a5_44b0_bf31_6b319ff1e2d4,lbrn_equipe_3,6eae597c_9beb_4050_a580_3a93d4961fa1,b749ac4c_96f4_4d2a_b8d7_1575faee66ad
d5785dac_ec79_446a_994a_c8e58b32b654,lbrn_equipe_1,e71c9939_0aea_43f6_8810_5a758f3adedf,9956bb21_9759_412c_8c62_14b4cdee9abf
d5785dac_ec79_446a_994a_c8e58b32b654,lbrn_equipe_1,c08ba1bf_4837_495c_bba7_f861843fa302,9956bb21_9759_412c_8c62_14b4cdee9abf
d5785dac_ec79_446a_994a_c8e58b32b654,lbrn_equipe_1,be20e22b_714d_4e16_869d_dd9989ca51a5,9956bb21_9759_412c_8c62_14b4cdee9abf
d5785dac_ec79_446a_994a_c8e58b32b654,lbrn_equipe_1,d8c7da96_af8b_4572_98e5_0c4f283799c3,9956bb21_9759_412c_8c62_14b4cdee9abf
d803bc73_3755_4c8b_990a_07bc6b232d27,equipe_rendama,a0d891e2_4551_48c1_b6f6_e798c60caa28,3f1a5303_7660_4b44_bc69_f042d0ffded5
d803bc73_3755_4c8b_990a_07bc6b232d27,equipe_rendama,21ae3758_31a0_4fac_87bd_1196d8e4f8d7,3f1a5303_7660_4b44_bc69_f042d0ffded5
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,e71c9939_0aea_43f6_8810_5a758f3adedf,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,5f6aeb11_7159_41e1_b8a2_74d989664cd9,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,1d37cbf4_8e9b_4f4c_91ad_b5b67805eaa6,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,a0d891e2_4551_48c1_b6f6_e798c60caa28,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,6a171940_2af8_4caa_8814_c70ed93788a7,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
d978bc4b_b9cf_4a02_aff3_a263aef38e40,equipe_n_4,4779bd44_b5c5_4d4a_9e1e_fceb6dfc8b49,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
e0baed2c_edb8_4a1b_8840_f17829108f83,equipe_1,ad39175e_0531_46d6_9095_5c646180ae10,7d3ba5b6_4b10_4ee7_a4db_95c5da1aacfc
e0baed2c_edb8_4a1b_8840_f17829108f83,equipe_1,ad39175e_0531_46d6_9095_5c646180ae10,72536b23_fa72_4ae3_9db7_a840db122770
e0baed2c_edb8_4a1b_8840_f17829108f83,equipe_1,3dcff279_5b87_42cb_b64c_7abaf9db1b19,7d3ba5b6_4b10_4ee7_a4db_95c5da1aacfc
e0baed2c_edb8_4a1b_8840_f17829108f83,equipe_1,3dcff279_5b87_42cb_b64c_7abaf9db1b19,72536b23_fa72_4ae3_9db7_a840db122770
ef795d61_0973_44f7_8644_02abe7693ff1,equipe_chul,b78cb6a1_e2c3_4584_87da_7755113b2d2d,508b5bc6_50c8_487d_bfa5_6fc8c31727d6
fa572704_6e0b_4d38_920f_ab124ac0a963,oyem_equipe_4,e71c9939_0aea_43f6_8810_5a758f3adedf,e8e482d3_5f64_4907_be9d_f281f523c5f9
fa572704_6e0b_4d38_920f_ab124ac0a963,oyem_equipe_4,8f66056c_8bc2_4a71_bde5_0001dfacd197,e8e482d3_5f64_4907_be9d_f281f523c5f9
fa572704_6e0b_4d38_920f_ab124ac0a963,oyem_equipe_4,84d1db3a_db2f_479e_b818_92075eaed338,e8e482d3_5f64_4907_be9d_f281f523c5f9
fa572704_6e0b_4d38_920f_ab124ac0a963,oyem_equipe_4,b88eb191_e4e9_4a32_889f_d43cb41e4643,e8e482d3_5f64_4907_be9d_f281f523c5f9
